Especie;Nombre;Categoría;Tamaño
Perro;Affenpinscher;Pinscher;Pequeño
Perro;Airedale Terrier;Terrier;Grande
Perro;Akita;Spitz;Grande
Perro;Akita Inu;Spitz;Grande
Perro;Alaskan Klee Kai;Spitz;Pequeño
Perro;Alaskan Malamute;Perro de Nieve;Grande
Perro;American English Coonhound;Sabueso;Grande
Perro;American Staffordshire Terrier;Terrier;Mediano
Perro;Australian Terrier;Terrier;Pequeño
Perro;Azawakh;Lebrel;Grande
Perro;Barbet;Perro de Agua;Mediano
Perro;Basenji;Sabueso;Mediano
Perro;Basset Leonado de Bretaña;Sabueso;Mediano
Perro;Basset Hound;Sabueso;Mediano
Perro;Beagle;Sabueso;Pequeño
Perro;Bearded Collie;Pastor;Grande
Perro;Beauceron;Pastor;Grande
Perro;Bedlington Terrier;Terrier;Mediano
Perro;Bergamasco;Pastor;Grande
Perro;Berger Picard;Pastor;Grande
Perro;Bernedoodle;Pastor;Grande
Perro;Bichón Boloñés;Bichon;Pequeño
Perro;Bichón Frise;Bichon;Pequeño
Perro;Bichón Habanero;Bichon;Pequeño
Perro;Bichón Maltés;Bichon;Pequeño
Perro;Biewer Terrier;Terrier;Pequeño
Perro;Black and Tan Coonhound;Sabueso;Grande
Perro;Black Russian Terrier;Terrier;Grande
Perro;Bluetick Coonhound;Sabueso;Grande
Perro;Bobtail;Collie;Grande
Perro;Boerboel;Molosoide;Grande
Perro;Bolonka;Bichon;Pequeño
Perro;Border Collie;Collie;Mediano
Perro;Border Terrier;Terrier;Pequeño
Perro;Borzoi;Lebrel;Grande
Perro;Boston Terrier;Terrier;Pequeño
Perro;Boxer;Molosoide;Grande
Perro;Boyero de Appenzell;Pastor;Grande
Perro;Boyero de Berna;Pastor;Grande
Perro;Boyero de Entlebuch;Pastor;Grande
Perro;Boyero de Flandes;Pastor;Grande
Perro;Boykin Spaniel;Spaniel;Mediano
Perro;Braco Alemán de Pelo Corto;Braco;Grande
Perro;Braco Alemán de Pelo Duro;Braco;Grande
Perro;Braco Alemán de Pelo Largo;Braco;Grande
Perro;Braco Húngaro de Pelo Duro;Braco;Grande
Perro;Braco de Borbón;Braco;Mediano
Perro;Braco de Weimar;Braco;Grande
Perro;Braco Italiano;Braco;Grande
Perro;Braco Francés;Braco;Mediano
